Filename,Active Hours
175882_2022-10.json,102.69
175882_2022-11.json,128.62
175882_2022-12.json,115.89
175882_2023-01.json,103.09
175882_2023-02.json,159.56
175882_2023-03.json,175.25
175882_2023-04.json,202.82
175882_2023-05.json,277.31
175882_2023-06.json,205.51
175882_2023-07.json,78.25
175882_2023-08.json,91.19
175882_2023-09.json,202.28
175882_2023-10.json,202.46
175882_2023-11.json,249.35
175882_2023-12.json,106.61
175882_2024-01.json,132.21
175882_2024-02.json,123.07
175882_2024-03.json,104.13
175882_2024-04.json,156.68
175882_2024-05.json,153.17
175882_2024-06.json,151.13
175882_2024-07.json,50.87
175882_2024-08.json,104.93
175882_2024-09.json,173.84
175882_2024-10.json,91.66
175882_2024-11.json,130.84
175882_2024-12.json,101.19
175882_2025-01.json,147.07
175882_2025-02.json,188.85
175882_2025-03.json,175.25
175882_2025-04.json,159.68
175882_2025-05.json,113.0
176099_2022-10.json,137.68
176099_2022-11.json,151.12
176099_2022-12.json,181.81
176099_2023-01.json,143.65
176099_2023-02.json,153.03
176099_2023-03.json,139.73
176099_2023-04.json,163.61
176099_2023-05.json,172.35
176099_2023-06.json,194.01
176099_2023-07.json,26.47
176099_2023-08.json,170.83
176099_2023-09.json,187.72
176099_2023-10.json,194.27
176099_2023-11.json,227.6
176099_2023-12.json,176.02
176099_2024-01.json,169.91
176099_2024-02.json,143.5
176099_2024-03.json,141.62
176099_2024-04.json,198.19
176099_2024-05.json,194.85
176099_2024-06.json,183.09
176099_2024-07.json,70.23
176099_2024-08.json,130.33
176099_2024-09.json,192.2
176099_2024-10.json,210.31
176099_2024-11.json,193.25
176099_2024-12.json,170.94
176099_2025-01.json,211.98
176099_2025-02.json,171.96
176099_2025-03.json,167.27
176099_2025-04.json,208.79
176099_2025-05.json,148.29
176108_2022-10.json,124.3
176108_2022-11.json,153.15
176108_2022-12.json,114.96
176108_2023-01.json,145.18
176108_2023-02.json,135.25
176108_2023-03.json,155.78
176108_2023-04.json,147.88
176108_2023-05.json,253.73
176108_2023-06.json,254.11
176108_2023-07.json,104.36
176108_2023-08.json,129.16
176108_2023-09.json,171.8
176108_2023-10.json,190.35
176108_2023-11.json,216.98
176108_2023-12.json,118.32
176108_2024-01.json,191.01
176108_2024-02.json,139.01
176108_2024-03.json,169.25
176108_2024-04.json,180.11
176108_2024-05.json,270.45
176108_2024-06.json,310.29
176108_2024-07.json,72.17
176108_2024-08.json,188.31
176108_2024-09.json,182.49
176108_2024-10.json,195.33
176108_2024-11.json,236.91
176108_2024-12.json,184.46
176108_2025-01.json,170.59
176108_2025-02.json,205.72
176108_2025-03.json,202.06
176108_2025-04.json,172.52
176108_2025-05.json,129.7
176117_2022-10.json,39.77
176117_2022-11.json,44.67
176117_2022-12.json,58.7
176117_2023-01.json,60.16
176117_2023-02.json,67.44
176117_2023-03.json,66.64
176117_2023-04.json,74.28
176117_2023-05.json,50.41
176117_2023-06.json,30.23
176117_2023-07.json,7.96
176117_2023-08.json,14.4
176117_2023-09.json,41.15
176117_2023-10.json,60.31
176117_2023-11.json,74.29
176117_2023-12.json,32.85
176117_2024-01.json,28.66
176117_2024-02.json,32.43
176117_2024-03.json,0.0
176117_2024-04.json,0.0
176117_2024-05.json,0.0
176117_2024-06.json,0.0
176117_2024-07.json,0.0
176117_2024-08.json,0.0
176117_2024-09.json,0.0
176117_2024-10.json,0.0
176117_2024-11.json,0.0
176117_2024-12.json,0.0
176117_2025-01.json,0.0
176117_2025-02.json,0.0
176117_2025-03.json,0.0
176117_2025-04.json,0.0
176117_2025-05.json,0.0
