Gruppe,Undergruppe,Bygning,Etage,Rumnummer,Areal,Omkreds,Ejendom,Bynavn
LAGER,,Thomas Manns Vej 25,Stue,B.015d,6.1918,10.085,Thomas Manns Vej,Aalborg
KØKKEN,,Thomas Manns Vej 25,Stue,B.015e,10.24718,13.95006,Thomas Manns Vej,Aalborg
KONTOR,,Thomas Manns Vej 25,Stue,B.015f,5.597517,9.6232,Thomas Manns Vej,Aalborg
KØKKEN,,Thomas Manns Vej 25,Stue,B.015g,18.79143,19.485,Thomas Manns Vej,Aalborg
TEKNIK,,Thomas Manns Vej 25,Kælder,B.-101,453.2548,117.17,Thomas Manns Vej,Aalborg
KONTOR,,Thomas Manns Vej 25,1. Sal,B.101,81.28413,43.51627,Thomas Manns Vej,Aalborg
FORRUM,,Thomas Manns Vej 25,1. Sal,B.102,13.83211,18.1924,Thomas Manns Vej,Aalborg
TOILET,,Thomas Manns Vej 25,1. Sal,B.102a,9.735271,14.88034,Thomas Manns Vej,Aalborg
TOILET,,Thomas Manns Vej 25,1. Sal,B.102b,1.7721,5.56,Thomas Manns Vej,Aalborg
TOILET,,Thomas Manns Vej 25,1. Sal,B.102c,1.79,5.58,Thomas Manns Vej,Aalborg
TOILET,,Thomas Manns Vej 25,1. Sal,B.102d,1.7721,5.56,Thomas Manns Vej,Aalborg
TOILET,,Thomas Manns Vej 25,1. Sal,B.102e,1.7721,5.56,Thomas Manns Vej,Aalborg
GANG,,Thomas Manns Vej 25,Kælder,B.-103,21.3,31.4,Thomas Manns Vej,Aalborg
LAGER,,Thomas Manns Vej 25,Kælder,B.-104,16.29765,17.05,Thomas Manns Vej,Aalborg
LAGER,,Thomas Manns Vej 25,Kælder,B.-105,8.37265,11.6,Thomas Manns Vej,Aalborg
GRUPPE,,Thomas Manns Vej 25,1. Sal,B.105,56.72271,34.40877,Thomas Manns Vej,Aalborg
LAGER,,Thomas Manns Vej 25,1. Sal,B.105a,8.111615,11.79529,Thomas Manns Vej,Aalborg
KØKKEN,,Thomas Manns Vej 25,Kælder,B.-106,7.96015,11.3,Thomas Manns Vej,Aalborg
MØDE,,Thomas Manns Vej 25,1. Sal,B.106a,56.13236,32.95137,Thomas Manns Vej,Aalborg
KØKKEN,,Thomas Manns Vej 25,1. Sal,B.106b,56.32417,31.8292,Thomas Manns Vej,Aalborg
BAD,,Thomas Manns Vej 25,Kælder,B.-109,4.465034,8.879333,Thomas Manns Vej,Aalborg
BAD,,Thomas Manns Vej 25,Kælder,B.-109a,3.3957,7.91,Thomas Manns Vej,Aalborg
BAD,,Thomas Manns Vej 25,Kælder,B.-110,4.465034,8.879333,Thomas Manns Vej,Aalborg
KONTOR,,Thomas Manns Vej 25,1. Sal,B.110,93.511,45.6122,Thomas Manns Vej,Aalborg
BAD,,Thomas Manns Vej 25,Kælder,B.-110a,4.070348,8.410666,Thomas Manns Vej,Aalborg
BAD,,Thomas Manns Vej 25,Kælder,B.-111,4.465034,8.879333,Thomas Manns Vej,Aalborg
GRUPPE,,Thomas Manns Vej 25,1. Sal,B.111,28.29655,21.8594,Thomas Manns Vej,Aalborg
BAD,,Thomas Manns Vej 25,Kælder,B.-111a,4.070348,8.410666,Thomas Manns Vej,Aalborg
BAD,,Thomas Manns Vej 25,Kælder,B.-112,7.82551,11.19743,Thomas Manns Vej,Aalborg
GANG,,Thomas Manns Vej 25,1. Sal,B.112,171.5287,162.0917,Thomas Manns Vej,Aalborg
GRUPPE,,Thomas Manns Vej 25,2. Sal,B.201,36.5689,24.8524,Thomas Manns Vej,Aalborg
KONTOR,,Thomas Manns Vej 25,2. Sal,B.202,62.68347,34.99053,Thomas Manns Vej,Aalborg
MØDE,,Thomas Manns Vej 25,2. Sal,B.203,31.06878,25.86747,Thomas Manns Vej,Aalborg
FORRUM,,Thomas Manns Vej 25,2. Sal,B.204,13.83211,18.1924,Thomas Manns Vej,Aalborg
TOILET,,Thomas Manns Vej 25,2. Sal,B.204a,1.7735,5.547,Thomas Manns Vej,Aalborg
TOILET,,Thomas Manns Vej 25,2. Sal,B.204b,1.7735,5.547,Thomas Manns Vej,Aalborg
TOILET,,Thomas Manns Vej 25,2. Sal,B.204c,1.7735,5.547,Thomas Manns Vej,Aalborg
TOILET,,Thomas Manns Vej 25,2. Sal,B.204d,1.7735,5.547,Thomas Manns Vej,Aalborg
KONTOR,,Thomas Manns Vej 25,2. Sal,B.207,66.47237,39.43077,Thomas Manns Vej,Aalborg
GRUPPE,,Thomas Manns Vej 25,2. Sal,B.208,48.57008,31.61783,Thomas Manns Vej,Aalborg
KONTOR,,Thomas Manns Vej 25,2. Sal,B.209,77.15428,41.3674,Thomas Manns Vej,Aalborg
KONTOR,,Thomas Manns Vej 25,2. Sal,B.212,46.42954,28.5292,Thomas Manns Vej,Aalborg
KONTOR,,Thomas Manns Vej 25,2. Sal,B.215,50.48118,33.45457,Thomas Manns Vej,Aalborg
GANG,,Thomas Manns Vej 25,2. Sal,B.216,193.6392,163.1814,Thomas Manns Vej,Aalborg
KØKKEN,,Thomas Manns Vej 25,Stue,C.001a,13.90895,15.753,Thomas Manns Vej,Aalborg
KØKKEN,,Thomas Manns Vej 25,Stue,C.001b,7.221854,10.758,Thomas Manns Vej,Aalborg
KØKKEN,,Thomas Manns Vej 25,Stue,C.001c,14.60302,19.581,Thomas Manns Vej,Aalborg
OPHOLD,,Thomas Manns Vej 25,Stue,C.003,520.0807,135.926,Thomas Manns Vej,Aalborg
AUDITORIUM,,Thomas Manns Vej 25,Stue,C.004,134.0087,48.92324,Thomas Manns Vej,Aalborg
MØDE,,Thomas Manns Vej 25,Stue,C.009,88.32476,38.71515,Thomas Manns Vej,Aalborg
LAGER,,Thomas Manns Vej 25,Stue,C.009a,18.75398,19.4272,Thomas Manns Vej,Aalborg
GANG,,Thomas Manns Vej 25,Kælder,C.-101,42.825,60.1,Thomas Manns Vej,Aalborg
KONTOR,,Thomas Manns Vej 25,1. Sal,C.101a,28.42788,21.8632,Thomas Manns Vej,Aalborg
KONTOR,,Thomas Manns Vej 25,1. Sal,C.101b,28.52217,22.0872,Thomas Manns Vej,Aalborg
GRUPPE,,Thomas Manns Vej 25,1. Sal,C.102,48.21902,31.4492,Thomas Manns Vej,Aalborg
FORRUM,,Thomas Manns Vej 25,Kælder,C.-102,4.0425,8.39,Thomas Manns Vej,Aalborg
TOILET,,Thomas Manns Vej 25,Kælder,C.-102a,2.15441,5.883,Thomas Manns Vej,Aalborg
TOILET,,Thomas Manns Vej 25,Kælder,C.-102b,2.15441,5.883,Thomas Manns Vej,Aalborg
TOILET,,Thomas Manns Vej 25,Kælder,C.-102c,2.15441,5.883,Thomas Manns Vej,Aalborg
TOILET,,Thomas Manns Vej 25,Kælder,C.-102d,2.15441,5.883,Thomas Manns Vej,Aalborg
FORRUM,,Thomas Manns Vej 25,Kælder,C.-103,4.0425,8.39,Thomas Manns Vej,Aalborg
TOILET,,Thomas Manns Vej 25,Kælder,C.-103a,2.15441,5.883,Thomas Manns Vej,Aalborg
TOILET,,Thomas Manns Vej 25,Kælder,C.-103b,2.15441,5.883,Thomas Manns Vej,Aalborg
TOILET,,Thomas Manns Vej 25,Kælder,C.-103c,2.153886,5.882238,Thomas Manns Vej,Aalborg
TOILET,,Thomas Manns Vej 25,Kælder,C.-103d,2.153886,5.882238,Thomas Manns Vej,Aalborg
LAGER,,Thomas Manns Vej 25,Kælder,C.-104,84.8878,42.04,Thomas Manns Vej,Aalborg
MØDE,,Thomas Manns Vej 25,1. Sal,C.104a,53.75077,31.66809,Thomas Manns Vej,Aalborg
MØDE,,Thomas Manns Vej 25,1. Sal,C.104b,58.36379,34.75916,Thomas Manns Vej,Aalborg
TEKNIK,,Thomas Manns Vej 25,Kælder,C.-105,10.68305,21.57233,Thomas Manns Vej,Aalborg
KONTOR,,Thomas Manns Vej 25,1. Sal,C.105,59.82417,33.44837,Thomas Manns Vej,Aalborg
MØDE,,Thomas Manns Vej 25,1. Sal,C.106,9.489522,12.53733,Thomas Manns Vej,Aalborg
MØDE,,Thomas Manns Vej 25,1. Sal,C.107,9.486876,12.53533,Thomas Manns Vej,Aalborg
RENGØRING,,Thomas Manns Vej 25,Kælder,C.-107,21.56,21,Thomas Manns Vej,Aalborg
KONTOR,,Thomas Manns Vej 25,1. Sal,C.108,115.185,58.7191,Thomas Manns Vej,Aalborg
GARDEROBE,,Thomas Manns Vej 25,Kælder,C.-109,10.35,13.6,Thomas Manns Vej,Aalborg
KONTOR,,Thomas Manns Vej 25,1. Sal,C.113,87.69845,42.23598,Thomas Manns Vej,Aalborg
LAGER,,Thomas Manns Vej 25,1. Sal,C.113a,18.84611,19.4271,Thomas Manns Vej,Aalborg
GANG,,Thomas Manns Vej 25,1. Sal,C.114,171.5318,129.7007,Thomas Manns Vej,Aalborg
ELEVATOR,,Thomas Manns Vej 25,Kælder,EA.-001,2.951466,6.899829,Thomas Manns Vej,Aalborg
ELEVATOR,,Thomas Manns Vej 25,Stue,EA.001,2.951466,6.899829,Thomas Manns Vej,Aalborg
ELEVATOR,,Thomas Manns Vej 25,Stue,EA.017,6.602932,10.30003,Thomas Manns Vej,Aalborg
ELEVATOR,,Thomas Manns Vej 25,Kælder,EA.-104,6.602932,10.30003,Thomas Manns Vej,Aalborg
ELEVATOR,,Thomas Manns Vej 25,1. Sal,EA.122,6.602932,10.30003,Thomas Manns Vej,Aalborg
ELEVATOR,,Thomas Manns Vej 25,2. Sal,EA.219,6.602932,10.30003,Thomas Manns Vej,Aalborg
ELEVATOR,,Thomas Manns Vej 25,3. Sal,EA.319,6.602932,10.30003,Thomas Manns Vej,Aalborg
ELEVATOR,,Thomas Manns Vej 25,Stue,EB.014,6.6299,10.32,Thomas Manns Vej,Aalborg
ELEVATOR,,Thomas Manns Vej 25,1. Sal,EB.108,6.629901,10.32,Thomas Manns Vej,Aalborg
ELEVATOR,,Thomas Manns Vej 25,Kælder,EB.-108,6.6299,10.32,Thomas Manns Vej,Aalborg
ELEVATOR,,Thomas Manns Vej 25,2. Sal,EB.211,6.6299,10.32,Thomas Manns Vej,Aalborg
TEKNIK,,Thomas Manns Vej 25,Kælder,SA.-107,25.53,20.3,Thomas Manns Vej,Aalborg
TEKNIK,,Thomas Manns Vej 25,Kælder,SB.-102,5.8227,9.7,Thomas Manns Vej,Aalborg
TEKNIK,,Thomas Manns Vej 25,Kælder,SB.-107,8.51565,11.73,Thomas Manns Vej,Aalborg
TEKNIK,,Thomas Manns Vej 25,Stue,SC.006,1.41778,7.272333,Thomas Manns Vej,Aalborg
TEKNIK,,Thomas Manns Vej 25,Kælder,SC.-108,13.048,14.92,Thomas Manns Vej,Aalborg
TEKNIK,,Thomas Manns Vej 25,Kælder,SC.-110,1.046955,6.772333,Thomas Manns Vej,Aalborg
TRAPPE,,Thomas Manns Vej 25,Stue,TA.002,29.83245,26.11631,Thomas Manns Vej,Aalborg
TRAPPE,,Thomas Manns Vej 25,Stue,TA.020,28.0804,25.26,Thomas Manns Vej,Aalborg
TRAPPE,,Thomas Manns Vej 25,Kælder,TA.-106,28.8979,25.5,Thomas Manns Vej,Aalborg
TRAPPE,,Thomas Manns Vej 25,1. Sal,TA.107,20.1405,19.46,Thomas Manns Vej,Aalborg
TRAPPE,,Thomas Manns Vej 25,1. Sal,TA.124,20.25175,19.63,Thomas Manns Vej,Aalborg
TRAPPE,,Thomas Manns Vej 25,2. Sal,TA.201,22.8,26.8,Thomas Manns Vej,Aalborg
TRAPPE,,Thomas Manns Vej 25,2. Sal,TA.203,20.1405,19.46,Thomas Manns Vej,Aalborg
TRAPPE,,Thomas Manns Vej 25,2. Sal,TA.220,20.23965,19.63,Thomas Manns Vej,Aalborg
TRAPPE,,Thomas Manns Vej 25,3. Sal,TA.301,22.9,26.9,Thomas Manns Vej,Aalborg
TRAPPE,,Thomas Manns Vej 25,3. Sal,TA.303,20.1405,19.46,Thomas Manns Vej,Aalborg
TRAPPE,,Thomas Manns Vej 25,3. Sal,TA.318,20.06372,19.815,Thomas Manns Vej,Aalborg
TRAPPE,,Thomas Manns Vej 25,Stue,TB.002,22.23852,27.418,Thomas Manns Vej,Aalborg
TRAPPE,,Thomas Manns Vej 25,Stue,TB.006,29.41164,26.025,Thomas Manns Vej,Aalborg
TRAPPE,,Thomas Manns Vej 25,1. Sal,TB.101,20.61,24.61,Thomas Manns Vej,Aalborg
TRAPPE,,Thomas Manns Vej 25,1. Sal,TB.102,23.65818,27.65818,Thomas Manns Vej,Aalborg
TRAPPE,,Thomas Manns Vej 25,1. Sal,TB.104,20.83025,20.03,Thomas Manns Vej,Aalborg
TRAPPE,,Thomas Manns Vej 25,2. Sal,TB.202,20.68,24.68,Thomas Manns Vej,Aalborg
TRAPPE,,Thomas Manns Vej 25,2. Sal,TB.206,20.85597,19.90007,Thomas Manns Vej,Aalborg
TRAPPE,,Thomas Manns Vej 25,Stue,TC.005,28.36167,26.16849,Thomas Manns Vej,Aalborg
TRAPPE,,Thomas Manns Vej 25,Kælder,TC.-106,35.1813,29.42,Thomas Manns Vej,Aalborg
TRAPPE,,Thomas Manns Vej 25,1. Sal,TC.109,29.5658,25.62,Thomas Manns Vej,Aalborg
TEKNIK,,Thomas Manns Vej 25,Stue,TKA.004,8.19984,11.6332,Thomas Manns Vej,Aalborg
TEKNIK,,Thomas Manns Vej 25,1. Sal,TKA.108,8.19984,11.6332,Thomas Manns Vej,Aalborg
TEKNIK,,Thomas Manns Vej 25,2. Sal,TKA.204,8.19984,11.6332,Thomas Manns Vej,Aalborg
TEKNIK,,Thomas Manns Vej 25,2. Sal,TKA.222,7.906498,15.33,Thomas Manns Vej,Aalborg
TEKNIK,,Thomas Manns Vej 25,3. Sal,TKA.304,8.19984,11.6332,Thomas Manns Vej,Aalborg
TEKNIK,,Thomas Manns Vej 25,Stue,TKC.008,7.27412,10.7972,Thomas Manns Vej,Aalborg
TEKNIK,,Thomas Manns Vej 25,1. Sal,TKC.112,7.2779,10.8,Thomas Manns Vej,Aalborg
